id,topic,gate,suggested_day,slot,text,x_weighted_characters,asset,alt_text,status
023,Setup workflow,EDUCATION,12,AM,Keep your software version and its documentation together. A screenshot of a broader edition is not a substitute for the instructions shipped with your package. https://www.civalsystems.com/docs/setup?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_023,184,assets/workflow-square.png,"Conceptual illustration of configure, validate and monitor stages; not a product screenshot.",DRAFT_NOT_PUBLISHED
024,Setup workflow,EDUCATION,12,PM,"Before enabling an agent, understand its inputs and settings. Cival documentation explains the product paths and the checks to make before a first run. https://www.civalsystems.com/docs/setup?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_024",175,assets/workflow-square.png,"Conceptual illustration of configure, validate and monitor stages; not a product screenshot.",DRAFT_NOT_PUBLISHED
025,Setup workflow,EDUCATION,13,AM,Need help choosing between a hosted workspace and source software? Start with the setup guide. The responsibilities and requirements are different. https://www.civalsystems.com/docs/setup?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_025,171,assets/workflow-square.png,"Conceptual illustration of configure, validate and monitor stages; not a product screenshot.",DRAFT_NOT_PUBLISHED
026,Risk and monitoring,EDUCATION,13,PM,"Automation does not remove risk. Position sizing, exposure limits and monitoring still matter. Explore the Cival workflow with that responsibility in mind. https://www.civalsystems.com/docs/setup?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_026",179,assets/workflow-square.png,"Conceptual illustration of configure, validate and monitor stages; not a product screenshot.",DRAFT_NOT_PUBLISHED
027,Risk and monitoring,EDUCATION,14,AM,"A running process is not proof of a healthy strategy. Check data freshness, orders and venue positions. Learn the setup and monitoring workflow before enabling automation. https://www.civalsystems.com/docs/setup?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_027",195,assets/workflow-square.png,"Conceptual illustration of configure, validate and monitor stages; not a product screenshot.",DRAFT_NOT_PUBLISHED
028,Risk and monitoring,EDUCATION,14,PM,"Before your first automated trade, know how to pause new entries and inspect existing exposure. Read the Cival setup guide and validate the behavior you depend on. https://www.civalsystems.com/docs/setup?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_028",187,assets/workflow-square.png,"Conceptual illustration of configure, validate and monitor stages; not a product screenshot.",DRAFT_NOT_PUBLISHED
029,Risk and monitoring,EDUCATION,15,AM,"Risk controls are useful only when you understand their scope. Ask what each limit measures, when it takes effect and what happens to existing positions. https://www.civalsystems.com/docs/setup?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_029",177,assets/workflow-square.png,"Conceptual illustration of configure, validate and monitor stages; not a product screenshot.",DRAFT_NOT_PUBLISHED
030,Risk and monitoring,EDUCATION,15,PM,"Start with a clear operating plan: what you will monitor, when you will intervene and how you will verify the result. Trading software still needs supervision. https://www.civalsystems.com/docs/setup?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_030",183,assets/workflow-square.png,"Conceptual illustration of configure, validate and monitor stages; not a product screenshot.",DRAFT_NOT_PUBLISHED
031,Network clarity,EDUCATION,16,AM,Testnet and mainnet are different environments. Check the selected network and connected account before funding or enabling a strategy. Test funds are not real trading capital. https://www.civalsystems.com/docs/setup?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_031,200,assets/workflow-square.png,"Conceptual illustration of configure, validate and monitor stages; not a product screenshot.",DRAFT_NOT_PUBLISHED
032,Network clarity,EDUCATION,16,PM,"A testnet trade can help validate an order workflow. It does not establish how a strategy will perform with real liquidity, fees or market conditions. https://www.civalsystems.com/docs/setup?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_032",174,assets/workflow-square.png,"Conceptual illustration of configure, validate and monitor stages; not a product screenshot.",DRAFT_NOT_PUBLISHED
033,Network clarity,EDUCATION,17,AM,"When reviewing a trading screenshot, ask which network it came from. Cival galleries label hosted testnet captures and demo sample data. https://www.civalsystems.com/docs/setup?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_033",160,assets/workflow-square.png,"Conceptual illustration of configure, validate and monitor stages; not a product screenshot.",DRAFT_NOT_PUBLISHED
034,Network clarity,EDUCATION,17,PM,"A useful first milestone is a verified order lifecycle: entry, protection, management and exit. A balance display alone does not establish that automation works. https://www.civalsystems.com/docs/setup?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_034",185,assets/workflow-square.png,"Conceptual illustration of configure, validate and monitor stages; not a product screenshot.",DRAFT_NOT_PUBLISHED
035,Network clarity,EDUCATION,18,AM,"Before changing networks, recheck addresses, permissions and configuration. Treat a successful testnet run as a technical check, not a profitability forecast. https://www.civalsystems.com/docs/setup?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_035",182,assets/workflow-square.png,"Conceptual illustration of configure, validate and monitor stages; not a product screenshot.",DRAFT_NOT_PUBLISHED
036,Account permissions,EDUCATION,18,PM,Understand the permissions you approve. A trading key and your main wallet are not the same thing. Read the account-connection instructions before authorizing an agent. https://www.civalsystems.com/docs/setup?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_036,192,assets/workflow-square.png,"Conceptual illustration of configure, validate and monitor stages; not a product screenshot.",DRAFT_NOT_PUBLISHED
037,Account permissions,EDUCATION,19,AM,Never share a seed phrase in a support chat. Use the documented account-connection flow and verify the domain before approving a wallet request. https://www.civalsystems.com/docs/setup?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_037,168,assets/workflow-square.png,"Conceptual illustration of configure, validate and monitor stages; not a product screenshot.",DRAFT_NOT_PUBLISHED
038,Account permissions,EDUCATION,19,PM,"Connecting an account is a meaningful step. Confirm the network, wallet and requested permissions, then verify the connection in your workspace. https://www.civalsystems.com/docs/setup?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_038",168,assets/workflow-square.png,"Conceptual illustration of configure, validate and monitor stages; not a product screenshot.",DRAFT_NOT_PUBLISHED
039,Account permissions,EDUCATION,20,AM,Trade-only permissions limit what a key can do; they do not prevent trading losses. Review account permissions and strategy risk together. https://www.civalsystems.com/docs/setup?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_039,162,assets/workflow-square.png,"Conceptual illustration of configure, validate and monitor stages; not a product screenshot.",DRAFT_NOT_PUBLISHED
040,Account permissions,EDUCATION,20,PM,"Keep account access understandable. Know which key is authorized, what it can do and where to revoke it. Begin with the connection guide. https://www.civalsystems.com/docs/setup?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_040",161,assets/workflow-square.png,"Conceptual illustration of configure, validate and monitor stages; not a product screenshot.",DRAFT_NOT_PUBLISHED
041,Agent selection,EDUCATION,21,AM,"Breakout, trend and mean-reversion strategies make different assumptions. Compare the rules before comparing the names. Cival product pages explain each approach and its limitations. https://www.civalsystems.com/store?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_041",206,assets/launch-brand.png,"Conceptual modular computing artwork for Cival Systems, not a product screenshot.",DRAFT_NOT_PUBLISHED
042,Agent selection,EDUCATION,21,PM,"An agent is a set of rules running inside a system. Learn what data it uses, how it forms a signal and what configuration it expects before choosing one. https://www.civalsystems.com/store?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_042",177,assets/launch-brand.png,"Conceptual modular computing artwork for Cival Systems, not a product screenshot.",DRAFT_NOT_PUBLISHED
043,Agent selection,EDUCATION,22,AM,"Which strategy fits your research question? Explore the Cival catalog, read the requirements and check availability. No strategy guarantees a profit. https://www.civalsystems.com/store?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_043",173,assets/launch-brand.png,"Conceptual modular computing artwork for Cival Systems, not a product screenshot.",DRAFT_NOT_PUBLISHED
044,Agent selection,EDUCATION,22,PM,"A bundle offers more approaches to investigate, not a guarantee of diversification. Different agents can still produce correlated exposure. https://www.civalsystems.com/store?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_044",163,assets/launch-brand.png,"Conceptual modular computing artwork for Cival Systems, not a product screenshot.",DRAFT_NOT_PUBLISHED
045,Agent selection,EDUCATION,23,AM,"Choose an agent because you understand its behavior. Product pages should help you evaluate inputs, assumptions and requirements, not just a name or an image. https://www.civalsystems.com/store?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_045",182,assets/launch-brand.png,"Conceptual modular computing artwork for Cival Systems, not a product screenshot.",DRAFT_NOT_PUBLISHED
046,Core edition,SOURCE_HOLD,23,PM,Core Edition is the starting point for Cival source software: the dashboard foundation with Darvas included. Review its contents and setup requirements. Source sales remain on hold pending release validation. https://www.civalsystems.com/store/trading-dashboard-template?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_046,232,assets/launch-brand.png,"Conceptual modular computing artwork for Cival Systems, not a product screenshot.",DRAFT_NOT_PUBLISHED
047,Core edition,SOURCE_HOLD,24,AM,Want to modify your trading workspace? Explore Core Edition and its TypeScript source offering. It requires your own setup. New source sales are currently on hold. https://www.civalsystems.com/store/trading-dashboard-template?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_047,187,assets/launch-brand.png,"Conceptual modular computing artwork for Cival Systems, not a product screenshot.",DRAFT_NOT_PUBLISHED
048,Core edition,SOURCE_HOLD,24,PM,Core and hosting serve different needs. Core is source software to install and maintain yourself; hosting is a separate service. Check the release notice before purchasing. https://www.civalsystems.com/store/trading-dashboard-template?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_048,196,assets/launch-brand.png,"Conceptual modular computing artwork for Cival Systems, not a product screenshot.",DRAFT_NOT_PUBLISHED
049,Core edition,SOURCE_HOLD,25,AM,"Core includes Darvas, so you do not need to buy that agent separately for the same installation. Review the product contents. Source sales remain on hold. https://www.civalsystems.com/store/trading-dashboard-template?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_049",178,assets/launch-brand.png,"Conceptual modular computing artwork for Cival Systems, not a product screenshot.",DRAFT_NOT_PUBLISHED
050,Core edition,SOURCE_HOLD,25,PM,"Before choosing Core, read the installation requirements and license. The goal is an understandable starting point for customization. Release validation is still in progress. https://www.civalsystems.com/store/trading-dashboard-template?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_050",198,assets/launch-brand.png,"Conceptual modular computing artwork for Cival Systems, not a product screenshot.",DRAFT_NOT_PUBLISHED
051,Trader edition,SOURCE_HOLD,26,AM,Trader Edition brings Core and six strategy frameworks into one source package. Read the included-agent list and requirements. New source sales are on hold pending validation. https://www.civalsystems.com/store/multi-strat-bundle?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_051,199,assets/launch-brand.png,"Conceptual modular computing artwork for Cival Systems, not a product screenshot.",DRAFT_NOT_PUBLISHED
052,Trader edition,SOURCE_HOLD,26,PM,"Want to compare multiple programmed approaches? Explore Trader Edition: the source bundle includes breakout, trend, reversion and research strategies. Availability is subject to release validation. https://www.civalsystems.com/store/multi-strat-bundle?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_052",221,assets/launch-brand.png,"Conceptual modular computing artwork for Cival Systems, not a product screenshot.",DRAFT_NOT_PUBLISHED
053,Trader edition,SOURCE_HOLD,27,AM,Trader includes Core. Check bundle contents before adding separate agents so you do not purchase overlapping licenses. Source sales are currently on hold. https://www.civalsystems.com/store/multi-strat-bundle?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_053,178,assets/launch-brand.png,"Conceptual modular computing artwork for Cival Systems, not a product screenshot.",DRAFT_NOT_PUBLISHED
054,Trader edition,SOURCE_HOLD,27,PM,A strategy collection gives you more rules to study and customize. It does not provide a guaranteed edge. Explore the Trader contents and current release notice. https://www.civalsystems.com/store/multi-strat-bundle?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_054,185,assets/launch-brand.png,"Conceptual modular computing artwork for Cival Systems, not a product screenshot.",DRAFT_NOT_PUBLISHED
055,Trader edition,SOURCE_HOLD,28,AM,"Trader is a source bundle, not a managed hosting subscription. Plan for installation, configuration and maintenance. Review the requirements and release status. https://www.civalsystems.com/store/multi-strat-bundle?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_055",184,assets/launch-brand.png,"Conceptual modular computing artwork for Cival Systems, not a product screenshot.",DRAFT_NOT_PUBLISHED
056,Darvas,SOURCE_HOLD,28,PM,Darvas Box Breakout Agent uses programmed box-breakout rules. Learn what the package includes and which dashboard it requires. New source sales are currently on hold. https://www.civalsystems.com/store/darvas-indicator?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_056,190,assets/launch-brand.png,"Conceptual modular computing artwork for Cival Systems, not a product screenshot.",DRAFT_NOT_PUBLISHED
057,Darvas,SOURCE_HOLD,29,AM,"A breakout can fail. Darvas research begins with the box rules, entry conditions and invalidation, not an assumption that every breakout will continue. https://www.civalsystems.com/store/darvas-indicator?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_057",175,assets/launch-brand.png,"Conceptual modular computing artwork for Cival Systems, not a product screenshot.",DRAFT_NOT_PUBLISHED
058,Darvas,SOURCE_HOLD,29,PM,Darvas is already included in Core and Trader. Compare package contents before buying an individual agent. Source release validation is still in progress. https://www.civalsystems.com/store/darvas-indicator?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_058,178,assets/launch-brand.png,"Conceptual modular computing artwork for Cival Systems, not a product screenshot.",DRAFT_NOT_PUBLISHED
059,Darvas,SOURCE_HOLD,30,AM,"Interested in rule-based breakout trading? Read the Darvas product page, review its requirements and understand its limitations before considering deployment. https://www.civalsystems.com/store/darvas-indicator?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_059",182,assets/launch-brand.png,"Conceptual modular computing artwork for Cival Systems, not a product screenshot.",DRAFT_NOT_PUBLISHED
060,Darvas,SOURCE_HOLD,30,PM,Agent selection starts with a question: what market behavior am I trying to capture? Darvas focuses on box breakouts. Read the rules and current release notice. https://www.civalsystems.com/store/darvas-indicator?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_060,184,assets/launch-brand.png,"Conceptual modular computing artwork for Cival Systems, not a product screenshot.",DRAFT_NOT_PUBLISHED
061,Elliott,SOURCE_HOLD,31,AM,The Elliott Wave Pattern Agent uses programmed price-swing rules. It does not guarantee wave identification. Explore the approach and requirements; source sales are on hold. https://www.civalsystems.com/store/elliott-wave-agent?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_061,197,assets/launch-brand.png,"Conceptual modular computing artwork for Cival Systems, not a product screenshot.",DRAFT_NOT_PUBLISHED
062,Elliott,SOURCE_HOLD,31,PM,"Pattern-based strategies depend on how a pattern is defined. Read the Elliott agent description with that in mind, then review its configuration and release status. https://www.civalsystems.com/store/elliott-wave-agent?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_062",188,assets/launch-brand.png,"Conceptual modular computing artwork for Cival Systems, not a product screenshot.",DRAFT_NOT_PUBLISHED
063,Elliott,SOURCE_HOLD,32,AM,"Wave labels are an interpretation, not certainty. Explore the Cival Elliott framework as a set of explicit rules to inspect and evaluate. https://www.civalsystems.com/store/elliott-wave-agent?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_063",161,assets/launch-brand.png,"Conceptual modular computing artwork for Cival Systems, not a product screenshot.",DRAFT_NOT_PUBLISHED
064,Elliott,SOURCE_HOLD,32,PM,Elliott is one of the six frameworks listed in Trader Edition. Compare the bundle before choosing an individual license. Source sales await release validation. https://www.civalsystems.com/store/elliott-wave-agent?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_064,183,assets/launch-brand.png,"Conceptual modular computing artwork for Cival Systems, not a product screenshot.",DRAFT_NOT_PUBLISHED
065,Elliott,SOURCE_HOLD,33,AM,"A useful strategy description explains its assumptions. The Elliott agent page describes a programmed swing-pattern approach, with limitations visible alongside the offering. https://www.civalsystems.com/store/elliott-wave-agent?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_065",198,assets/launch-brand.png,"Conceptual modular computing artwork for Cival Systems, not a product screenshot.",DRAFT_NOT_PUBLISHED
066,VWAP,SOURCE_HOLD,33,PM,"The VWAP Strategy Agent uses volume-weighted price rules. Review its inputs, configuration and dashboard requirements. Source sales remain on hold pending validation. https://www.civalsystems.com/store/vwap-momentum-agent?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_066",190,assets/launch-brand.png,"Conceptual modular computing artwork for Cival Systems, not a product screenshot.",DRAFT_NOT_PUBLISHED
067,VWAP,SOURCE_HOLD,34,AM,Volume-weighted signals need reliable data and clear configuration. Explore the VWAP agent description before deciding whether it fits your research. https://www.civalsystems.com/store/vwap-momentum-agent?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_067,173,assets/launch-brand.png,"Conceptual modular computing artwork for Cival Systems, not a product screenshot.",DRAFT_NOT_PUBLISHED
068,VWAP,SOURCE_HOLD,34,PM,"A familiar indicator is not a complete operating plan. Understand how the VWAP package turns its inputs into signals, then validate the surrounding execution workflow. https://www.civalsystems.com/store/vwap-momentum-agent?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_068",191,assets/launch-brand.png,"Conceptual modular computing artwork for Cival Systems, not a product screenshot.",DRAFT_NOT_PUBLISHED
069,VWAP,SOURCE_HOLD,35,AM,VWAP is included in Trader Edition. Read the bundle contents before choosing the individual agent. Current source availability is shown on the product page. https://www.civalsystems.com/store/vwap-momentum-agent?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_069,180,assets/launch-brand.png,"Conceptual modular computing artwork for Cival Systems, not a product screenshot.",DRAFT_NOT_PUBLISHED
070,VWAP,SOURCE_HOLD,35,PM,Interested in volume-weighted strategy research? Start with the VWAP product details and limitations. No indicator guarantees a profitable entry. https://www.civalsystems.com/store/vwap-momentum-agent?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_070,169,assets/launch-brand.png,"Conceptual modular computing artwork for Cival Systems, not a product screenshot.",DRAFT_NOT_PUBLISHED
071,Heikin Ashi,SOURCE_HOLD,36,AM,Heikin Ashi Trend Agent explores trend-following rules using transformed candles. Read its requirements and limitations. Source sales are currently on hold. https://www.civalsystems.com/store/heikin-ashi-agent?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_071,180,assets/launch-brand.png,"Conceptual modular computing artwork for Cival Systems, not a product screenshot.",DRAFT_NOT_PUBLISHED
